,alpha,xi_w,xi,v,w,alpha_pl
0,0.0046,0.4,0.0,0.0,0.9893371234543857,0.004512358268872192
1,0.0046,0.4,0.00010001000100010001,0.0,0.9893371234543857,0.004512358268872192
2,0.0046,0.4,0.00020002000200020003,0.0,0.9893371234543857,0.004512358268872192
3,0.0046,0.4,0.00030003000300030005,0.0,0.9893371234543857,0.004512358268872192
4,0.0046,0.4,0.00040004000400040005,0.0,0.9893371234543857,0.004512358268872192
5,0.0046,0.4,0.0005000500050005,0.0,0.9893371234543857,0.004512358268872192
6,0.0046,0.4,0.0006000600060006001,0.0,0.9893371234543857,0.004512358268872192
7,0.0046,0.4,0.0007000700070007,0.0,0.9893371234543857,0.004512358268872192
8,0.0046,0.4,0.0008000800080008001,0.0,0.9893371234543857,0.004512358268872192
9,0.0046,0.4,0.0009000900090009002,0.0,0.9893371234543857,0.004512358268872192
10,0.0046,0.4,0.001000100010001,0.0,0.9893371234543857,0.004512358268872192
11,0.0046,0.4,0.0011001100110011,0.0,0.9893371234543857,0.004512358268872192
12,0.0046,0.4,0.0012001200120012002,0.0,0.9893371234543857,0.004512358268872192
13,0.0046,0.4,0.0013001300130013002,0.0,0.9893371234543857,0.004512358268872192
14,0.0046,0.4,0.0014001400140014,0.0,0.9893371234543857,0.004512358268872192
15,0.0046,0.4,0.0015001500150015003,0.0,0.9893371234543857,0.004512358268872192
16,0.0046,0.4,0.0016001600160016002,0.0,0.9893371234543857,0.004512358268872192
17,0.0046,0.4,0.0017001700170017002,0.0,0.9893371234543857,0.004512358268872192
18,0.0046,0.4,0.0018001800180018003,0.0,0.9893371234543857,0.004512358268872192
19,0.0046,0.4,0.0019001900190019003,0.0,0.9893371234543857,0.004512358268872192
20,0.0046,0.4,0.002000200020002,0.0,0.9893371234543857,0.004512358268872192
21,0.0046,0.4,0.0021002100210021,0.0,0.9893371234543857,0.004512358268872192
22,0.0046,0.4,0.0022002200220022,0.0,0.9893371234543857,0.004512358268872192
23,0.0046,0.4,0.0023002300230023005,0.0,0.9893371234543857,0.004512358268872192
24,0.0046,0.4,0.0024002400240024004,0.0,0.9893371234543857,0.004512358268872192
25,0.0046,0.4,0.0025002500250025004,0.0,0.9893371234543857,0.004512358268872192
26,0.0046,0.4,0.0026002600260026003,0.0,0.9893371234543857,0.004512358268872192
27,0.0046,0.4,0.0027002700270027003,0.0,0.9893371234543857,0.004512358268872192
28,0.0046,0.4,0.0028002800280028,0.0,0.9893371234543857,0.004512358268872192
29,0.0046,0.4,0.0029002900290029006,0.0,0.9893371234543857,0.004512358268872192
30,0.0046,0.4,0.0030003000300030005,0.0,0.9893371234543857,0.004512358268872192
31,0.0046,0.4,0.0031003100310031005,0.0,0.9893371234543857,0.004512358268872192
32,0.0046,0.4,0.0032003200320032004,0.0,0.9893371234543857,0.004512358268872192
33,0.0046,0.4,0.0033003300330033004,0.0,0.9893371234543857,0.004512358268872192
34,0.0046,0.4,0.0034003400340034003,0.0,0.9893371234543857,0.004512358268872192
35,0.0046,0.4,0.0035003500350035003,0.0,0.9893371234543857,0.004512358268872192
36,0.0046,0.4,0.0036003600360036006,0.0,0.9893371234543857,0.004512358268872192
37,0.0046,0.4,0.0037003700370037006,0.0,0.9893371234543857,0.004512358268872192
38,0.0046,0.4,0.0038003800380038005,0.0,0.9893371234543857,0.004512358268872192
39,0.0046,0.4,0.0039003900390039005,0.0,0.9893371234543857,0.004512358268872192
40,0.0046,0.4,0.004000400040004,0.0,0.9893371234543857,0.004512358268872192
41,0.0046,0.4,0.004100410041004101,0.0,0.9893371234543857,0.004512358268872192
42,0.0046,0.4,0.0042004200420042,0.0,0.9893371234543857,0.004512358268872192
43,0.0046,0.4,0.004300430043004301,0.0,0.9893371234543857,0.004512358268872192
44,0.0046,0.4,0.0044004400440044,0.0,0.9893371234543857,0.004512358268872192
45,0.0046,0.4,0.004500450045004501,0.0,0.9893371234543857,0.004512358268872192
46,0.0046,0.4,0.004600460046004601,0.0,0.9893371234543857,0.004512358268872192
47,0.0046,0.4,0.0047004700470047005,0.0,0.9893371234543857,0.004512358268872192
48,0.0046,0.4,0.004800480048004801,0.0,0.9893371234543857,0.004512358268872192
49,0.0046,0.4,0.0049004900490049,0.0,0.9893371234543857,0.004512358268872192
50,0.0046,0.4,0.005000500050005001,0.0,0.9893371234543857,0.004512358268872192
51,0.0046,0.4,0.0051005100510051,0.0,0.9893371234543857,0.004512358268872192
52,0.0046,0.4,0.005200520052005201,0.0,0.9893371234543857,0.004512358268872192
53,0.0046,0.4,0.005300530053005301,0.0,0.9893371234543857,0.004512358268872192
54,0.0046,0.4,0.0054005400540054005,0.0,0.9893371234543857,0.004512358268872192
55,0.0046,0.4,0.005500550055005501,0.0,0.9893371234543857,0.004512358268872192
56,0.0046,0.4,0.0056005600560056,0.0,0.9893371234543857,0.004512358268872192
57,0.0046,0.4,0.005700570057005701,0.0,0.9893371234543857,0.004512358268872192
58,0.0046,0.4,0.005800580058005801,0.0,0.9893371234543857,0.004512358268872192
