,alpha,xi_w,xi,v,w,alpha_pl
0,0.0046,0.5,0.0,0.0,0.990367755596338,0.004372038637923796
1,0.0046,0.5,0.00010001000100010001,0.0,0.990367755596338,0.004372038637923796
2,0.0046,0.5,0.00020002000200020003,0.0,0.990367755596338,0.004372038637923796
3,0.0046,0.5,0.00030003000300030005,0.0,0.990367755596338,0.004372038637923796
4,0.0046,0.5,0.00040004000400040005,0.0,0.990367755596338,0.004372038637923796
5,0.0046,0.5,0.0005000500050005,0.0,0.990367755596338,0.004372038637923796
6,0.0046,0.5,0.0006000600060006001,0.0,0.990367755596338,0.004372038637923796
7,0.0046,0.5,0.0007000700070007,0.0,0.990367755596338,0.004372038637923796
8,0.0046,0.5,0.0008000800080008001,0.0,0.990367755596338,0.004372038637923796
9,0.0046,0.5,0.0009000900090009002,0.0,0.990367755596338,0.004372038637923796
10,0.0046,0.5,0.001000100010001,0.0,0.990367755596338,0.004372038637923796
11,0.0046,0.5,0.0011001100110011,0.0,0.990367755596338,0.004372038637923796
12,0.0046,0.5,0.0012001200120012002,0.0,0.990367755596338,0.004372038637923796
13,0.0046,0.5,0.0013001300130013002,0.0,0.990367755596338,0.004372038637923796
14,0.0046,0.5,0.0014001400140014,0.0,0.990367755596338,0.004372038637923796
15,0.0046,0.5,0.0015001500150015003,0.0,0.990367755596338,0.004372038637923796
16,0.0046,0.5,0.0016001600160016002,0.0,0.990367755596338,0.004372038637923796
17,0.0046,0.5,0.0017001700170017002,0.0,0.990367755596338,0.004372038637923796
18,0.0046,0.5,0.0018001800180018003,0.0,0.990367755596338,0.004372038637923796
19,0.0046,0.5,0.0019001900190019003,0.0,0.990367755596338,0.004372038637923796
20,0.0046,0.5,0.002000200020002,0.0,0.990367755596338,0.004372038637923796
21,0.0046,0.5,0.0021002100210021,0.0,0.990367755596338,0.004372038637923796
22,0.0046,0.5,0.0022002200220022,0.0,0.990367755596338,0.004372038637923796
23,0.0046,0.5,0.0023002300230023005,0.0,0.990367755596338,0.004372038637923796
24,0.0046,0.5,0.0024002400240024004,0.0,0.990367755596338,0.004372038637923796
25,0.0046,0.5,0.0025002500250025004,0.0,0.990367755596338,0.004372038637923796
26,0.0046,0.5,0.0026002600260026003,0.0,0.990367755596338,0.004372038637923796
27,0.0046,0.5,0.0027002700270027003,0.0,0.990367755596338,0.004372038637923796
28,0.0046,0.5,0.0028002800280028,0.0,0.990367755596338,0.004372038637923796
29,0.0046,0.5,0.0029002900290029006,0.0,0.990367755596338,0.004372038637923796
30,0.0046,0.5,0.0030003000300030005,0.0,0.990367755596338,0.004372038637923796
