,alpha,xi_w,xi,v,w,alpha_pl,shock,xi_sh,wm
0,0.0046,0.76,0.0,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
1,0.0046,0.76,5.000250012500625e-05,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
2,0.0046,0.76,0.0001000050002500125,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
3,0.0046,0.76,0.00015000750037501875,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
4,0.0046,0.76,0.000200010000500025,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
5,0.0046,0.76,0.00025001250062503126,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
6,0.0046,0.76,0.0003000150007500375,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
7,0.0046,0.76,0.00035001750087504374,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
8,0.0046,0.76,0.00040002000100005,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
9,0.0046,0.76,0.00045002250112505623,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
10,0.0046,0.76,0.0005000250012500625,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
11,0.0046,0.76,0.0005500275013750688,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
12,0.0046,0.76,0.000600030001500075,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
13,0.0046,0.76,0.0006500325016250812,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
14,0.0046,0.76,0.0007000350017500875,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
15,0.0046,0.76,0.0007500375018750937,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
16,0.0046,0.76,0.0008000400020001,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
17,0.0046,0.76,0.0008500425021251062,0.0,-0.009240893299842809,0.0046,0.0,0.76,1.0301960091845488
